family_income_category,parent_education_level,prior_academic_performance,school_resources_rating,distance_to_school_km,transportation_access,special_education_needs,language_barrier,family_support,peer_influence,extracurricular_participation,school_climate,attendance_rate,dropout_probability
Low Income,Graduate,2.67168307635298,Excellent,25.04405817918585,None,Mild,Major,Moderate,Negative,Active,,72.67455724364181,0.3625992430933348
Upper Middle,Graduate,2.4325587777593656,Excellent,10.265327302666169,Walk,None,Minor,None,Neutral,None,Good,55.12605334940572,0.7911934756420239
Below Poverty,High School,2.0310101015518063,Fair,1.2087461811814812,Bus,Moderate,Minor,Low,Neutral,None,Excellent,81.25275588843218,0.7542576459562056
Middle Class,Bachelor,1.892653196378431,Fair,4.81142205007103,None,Severe,Minor,Low,Neutral,Active,Good,65.5926440363004,0.6340737807267239
Wealthy,Graduate,1.852860565316929,Good,11.19536455325184,Car,Severe,,Low,Negative,Active,Poor,79.63754198256672,0.3426128761573882
Low Income,High School,2.998069720122899,Excellent,,Bus,Mild,None,Moderate,Negative,Active,Poor,63.00432821913796,0.7783121167412972
Below Poverty,High School,3.6702800860683253,Excellent,6.322476484580406,None,Moderate,Major,None,Positive,Some,Fair,69.18840104044293,0.8992709441735895
Below Poverty,Graduate,1.6790684645211347,Good,27.781352741840823,None,None,None,None,Neutral,,Toxic,75.76948722134767,0.9604164179104961
Below Poverty,Bachelor,3.800218685502496,Fair,1.2828277310575358,Walk,,Minor,None,Neutral,Active,Toxic,67.10881101223244,
Wealthy,Graduate,2.8054265278678603,Poor,13.936660878591674,Bus,None,Minor,Moderate,Positive,None,Poor,97.64918924215519,0.5644182586727404
Upper Middle,Bachelor,3.845059644729127,Fair,9.71237230289455,Car,Moderate,Major,Moderate,Neutral,Some,Toxic,78.27247125015445,0.7905588584853693
Low Income,Bachelor,2.534616460430665,,25.79440298181573,Bus,Moderate,Major,,Neutral,Active,Poor,97.40157589374522,0.9915129182358642
Low Income,Graduate,3.283577868179999,Excellent,8.85971012694697,Car,None,Minor,None,Positive,None,Toxic,56.49078460153078,0.465777355188116
Upper Middle,High School,3.0284787787945957,Poor,27.691912356305384,Car,Moderate,Minor,None,Neutral,Active,,67.21028985584788,0.21182778051317197
Middle Class,Less than HS,2.7460949014584637,Excellent,25.517296083948587,Bus,Severe,Major,Moderate,Positive,None,Poor,75.72034761526908,0.8932070828896078
Below Poverty,Less than HS,2.7200474289206853,Excellent,9.216572317828392,Walk,Moderate,None,Low,Neutral,Some,Excellent,94.14338104524552,0.807667855866496
Low Income,,2.7122626425309124,Fair,29.222091604616228,Walk,Mild,Major,Low,Negative,Some,Fair,71.9581731727506,0.905075838537312
Upper Middle,Some College,3.989894425302744,Fair,23.425269344427825,Car,Severe,Minor,Low,Positive,None,Fair,85.06309505948661,0.05106375711212574
Middle Class,Bachelor,,Good,2.114579943384183,Bus,Moderate,None,Low,Negative,Some,Fair,80.89198758227367,0.20902621498653218
Low Income,High School,2.8475414263179246,Fair,12.171100400138007,Walk,Severe,Minor,High,Positive,None,Excellent,50.339834766859646,0.30829478810245214
Upper Middle,Some College,1.6757732786417083,Fair,14.088692600444977,None,Severe,Major,Moderate,Neutral,Some,Toxic,82.38548428292815,0.6060114464931452
Wealthy,High School,3.8883236893865663,Poor,22.314985067967537,None,Severe,Minor,None,Neutral,Active,Fair,78.86205675565628,0.8530567031699764
Wealthy,High School,1.7291050190766062,Fair,23.68982024412644,Bus,None,None,Low,Neutral,None,Poor,65.99558533845628,0.7986524270922882
Below Poverty,Some College,1.8491484907703593,,27.864425193536956,None,Mild,Minor,Low,Neutral,Some,Good,76.56734525604918,0.3261946536959942
Upper Middle,High School,3.31581821471056,,29.947836194851984,None,None,Major,Moderate,Neutral,None,Good,52.93203567750799,0.7729402990361219
Low Income,Less than HS,2.8288735354506094,Fair,4.407544433463587,None,Severe,Major,Low,Neutral,Some,Good,53.83417971615775,0.624021247038914
Below Poverty,Less than HS,2.441498150926073,,26.74849715795644,None,Severe,Minor,None,Neutral,Some,Poor,87.14135782922105,0.3336491107145716
Wealthy,Graduate,3.439883031859385,Good,27.129252511681187,Bus,None,Major,Low,Positive,Some,Good,92.42656270411605,0.09712811468490667
Middle Class,Some College,1.5854770639955813,Poor,18.414565155908996,None,Severe,Minor,Low,Positive,Active,Fair,75.96940925854454,0.6381984739509851
Middle Class,High School,2.0886625811352655,Poor,23.39922104696761,None,Mild,Major,Low,Neutral,Some,Toxic,78.64475171266557,0.6395521319036768
Middle Class,Graduate,2.174361780664251,Poor,20.10807136944722,Walk,Severe,None,None,Negative,Some,Fair,51.82267086104416,0.13770794722868407
Low Income,Bachelor,3.4864476520791867,Poor,28.881953317327202,Bus,Severe,None,Moderate,Negative,None,Good,66.61623436181316,0.9573253074906375
Low Income,Less than HS,1.6104282906697942,Excellent,3.011567167466294,Bus,Mild,Major,None,Neutral,Active,Fair,99.5672141197639,0.05641782153978625
Wealthy,Some College,2.6449306850445566,Fair,11.520120272632887,Car,None,Minor,Moderate,Neutral,Active,Excellent,85.82710514736388,0.7046907377953525
Below Poverty,Less than HS,1.8451363210573586,Poor,26.410396864706694,Car,Mild,Major,None,,Active,Excellent,59.343288239628535,0.9667626166678364
Below Poverty,Less than HS,3.6734762883884984,Fair,3.3594834300405907,Walk,None,Minor,Moderate,Negative,,Good,96.55177280556558,0.6930315442006671
Wealthy,Some College,3.9671032856757353,Excellent,2.455977998326179,Car,Severe,Major,High,Neutral,Some,Good,85.49664947832707,0.7316277048696829
Upper Middle,Less than HS,3.0207504727693113,Excellent,3.4830682708206786,Car,None,,High,Negative,Some,Excellent,86.471685018477,0.04555785428199455
Wealthy,Some College,3.821676909949086,Fair,1.4390706607884707,Car,None,Minor,Moderate,Neutral,None,Fair,87.14066487693343,0.7897969821641629
Upper Middle,Some College,2.4682580079133754,Fair,5.937231414543833,Bus,Moderate,None,None,Negative,Some,Excellent,54.20754390814991,0.10279884896796976
Low Income,,3.47672071234333,Fair,6.432653991553194,None,,Minor,None,Neutral,Some,Poor,83.79287534720333,0.11510783046027218
Upper Middle,Graduate,3.0967965984896426,Excellent,7.993847999318354,Car,Mild,None,High,Negative,Some,Poor,63.80922909708724,0.3899170496055496
Wealthy,Bachelor,2.7447682148331722,Fair,28.056210347838793,Bus,Mild,Major,None,Positive,Some,Fair,91.03663511114877,0.48489156595558236
Wealthy,Bachelor,2.4295443573915296,Good,4.388533362283316,Bus,Severe,Minor,Low,Positive,,Excellent,76.18156218062538,0.3438110419650362
Upper Middle,Bachelor,2.1560751099291604,Fair,19.563448164824354,Walk,Severe,,High,Positive,Some,Fair,61.557059540475024,0.2677107271524519
Wealthy,Bachelor,1.69527113603624,Good,22.383278509966342,None,None,Major,High,Positive,None,Fair,87.00298763982752,0.2592123411407531
Middle Class,Less than HS,3.978904892988986,Excellent,26.873757013186104,,,Minor,Low,Neutral,Some,Poor,64.68346721556216,0.7472132721570155
Below Poverty,Some College,3.1392015795955768,Poor,1.8219008257556848,Car,None,Major,Low,Neutral,Active,Poor,,
Wealthy,Bachelor,1.5723002527230845,Excellent,8.659606129055883,None,Severe,None,Moderate,Neutral,Active,Fair,76.13726797065786,0.611753651424834
Middle Class,Less than HS,2.3581597398959886,Poor,0.7086283358164525,None,Mild,Major,Low,Positive,Some,Fair,75.05690124688235,0.9314945322564944
Wealthy,Bachelor,3.727008982192072,Poor,27.185018207665593,Bus,None,None,None,Neutral,Active,Excellent,87.03712431342433,0.06625606756850433
Upper Middle,Less than HS,3.341350574709157,Good,,Car,Moderate,None,Low,Negative,Some,,87.06699735910959,0.7788044745920221
Low Income,Bachelor,,Excellent,10.812224321760745,None,Moderate,Minor,Moderate,Positive,Active,Poor,78.59380875307598,0.4457408131597085
Low Income,Graduate,2.4876916233123465,Good,14.966966774392372,Car,None,Major,None,Positive,Some,Poor,56.608274079034366,0.11067707808886051
Low Income,High School,2.330639703958744,Poor,26.199197706033523,Bus,Mild,,High,Negative,,Fair,70.47381853993369,0.9084377019609643
Wealthy,Less than HS,3.711992318062165,Fair,26.67533700282168,None,None,Minor,Low,Neutral,None,Good,98.72933230386141,0.34899881389439225
Wealthy,Bachelor,1.8784418351922836,Excellent,6.672538282490864,Car,None,None,None,Negative,Some,Excellent,61.189676523306645,0.6216630554300341
Wealthy,Some College,1.9828634818445403,Poor,29.71428685331053,Bus,None,None,Low,,Active,Toxic,62.09549789583554,0.44027543830923277
Below Poverty,Some College,1.5871247924759533,Excellent,8.756822383772963,Bus,Mild,Major,,Negative,Active,Poor,62.27006927033945,0.12086350605943363
Middle Class,Some College,2.144952085207536,Poor,27.122663059889312,Walk,Mild,None,Moderate,Positive,None,Poor,62.76192020684258,0.5647003137987863
Low Income,,2.411539391298046,Poor,24.798744858007865,Car,Severe,,None,Negative,Some,Good,69.75507670958953,0.3554384209519724
Below Poverty,Bachelor,3.6123862958751953,Excellent,17.235601804894213,Bus,None,Major,None,Neutral,Active,Fair,96.0944139344618,0.7146872979978406
Low Income,Less than HS,2.777621267063433,Excellent,26.0162270636276,None,Mild,Major,High,Positive,Active,Good,55.43223647826574,0.9014331972790128
Upper Middle,Less than HS,2.042254686724487,,21.63127067903183,Car,Moderate,None,Low,Positive,Some,Toxic,96.2885190610119,0.19064295383777108
Upper Middle,High School,2.641464252591769,Excellent,4.062060297176464,None,Moderate,Minor,Moderate,Neutral,,Poor,61.16384758110157,0.38610468301326784
Low Income,Graduate,3.5917307390108193,Excellent,11.374499073746318,,None,Minor,None,Positive,None,Poor,74.45766803752048,0.2533888574068197
Wealthy,Bachelor,3.7581772976132757,Excellent,3.4737161809949266,Walk,Moderate,Minor,Low,Neutral,Active,Fair,91.97433431127556,0.6385891639511985
Low Income,Some College,3.4639949025739236,Excellent,25.07977942575687,Bus,Moderate,Major,Moderate,Positive,Some,Fair,87.27533763699769,0.30480629379406166
Low Income,,2.590531268918647,Excellent,17.311113471247314,None,Moderate,Minor,None,Positive,Active,Fair,99.24707551506731,0.43001384851530267
Wealthy,Some College,2.66644002279139,Good,0.5175674468552329,Bus,Moderate,Minor,,Positive,Some,Toxic,62.68711756162833,0.5071215932636306
Upper Middle,Graduate,3.341401887731462,Good,27.76598105846387,None,Severe,None,Low,Positive,Some,Fair,62.76006976078915,0.4026781217452434
Upper Middle,Graduate,3.3139456620859207,Good,18.827568742260514,Walk,None,None,Moderate,Neutral,None,Fair,86.23120203659332,0.4081531425938658
Upper Middle,Less than HS,1.7559391498176455,Excellent,9.528786615463718,None,Moderate,None,Moderate,Negative,Some,Toxic,98.96098985445407,0.13538159548419526
Upper Middle,Less than HS,3.821601831689116,Fair,19.347932831179726,Car,None,,None,Negative,Active,Excellent,99.49789765201476,
Middle Class,Some College,2.8912590520770705,Fair,13.531738916978343,None,Severe,Major,,,Some,Good,57.213528267777285,0.883150464272389
Below Poverty,Bachelor,1.5364674249359653,Poor,3.192017669643284,Car,None,None,High,Negative,Active,,98.8911148724941,0.106415397407301
,,,Good,19.723395362765398,Bus,Severe,Major,Low,Negative,None,Good,51.912333572821666,0.7977302059083248
,Some College,2.6400451821425994,Good,2.006411761345098,Walk,Mild,None,None,Positive,Active,Excellent,59.01291171333624,0.6698897445709759
Wealthy,High School,2.2445666170285863,Good,24.4784208278108,Bus,None,Minor,High,Negative,Some,Excellent,82.0477722941643,0.7691829344515684
Low Income,Graduate,1.8620178775082181,Fair,2.3095023270738286,Bus,None,Major,High,Negative,Some,Poor,73.31112875383586,0.9748349175198961
Low Income,Bachelor,2.1172095834813645,Fair,18.424041153977292,Walk,Mild,Major,Moderate,Neutral,Active,Excellent,81.76025684377825,0.11366334801356581
Low Income,Graduate,2.8693729135274664,Fair,10.958221946508324,Walk,Mild,Minor,None,Positive,Active,Poor,62.27372326915261,0.05259427033149966
Upper Middle,Bachelor,3.0714933674823204,Fair,10.660341177126302,Walk,Severe,Major,Moderate,Negative,None,Poor,75.34821926506265,0.7338980226732091
